"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U11";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"74LVC8T245";;;
2;"U10";"TQFP-100_14x14mm_P0.5mm";1;"5M80Z";;;
3;"U1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"74LVC245";;;
4;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"MAX3232";;;
5;"Q4,Q3";"SOT-23";2;"BC847";;;
6;"U8";"SOT-223-3_TabPin2";1;"AMS1117-1.8";;;
7;"U7";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
8;"J14";"MicroSD_card_MSD-4-A";1;"MicroSD Card 0";;;
9;"C5,C8,C9";"C_1206_3216Metric";3;"4.7uF";;;
10;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"UPDI";;;
11;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"4.7uF";;;
12;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"JTAG";;;
13;"R12,R11,R19,R20,R24,R23,R15,R21,R14,R22";"R_0805_2012Metric";10;"1K";;;
14;"R13";"R_0805_2012Metric";1;"10K";;;
15;"C18,C12,C17,C16,C14,C15,C19,C25,C6,C20,C26,C24,C27,C4,C11,C13,C1";"C_0603_1608Metric";17;"0.1uF";;;
16;"H4,H3,H1,H2";"MountingHole_3.2mm_M3";4;"MountingHole";;;
17;"U4";"XO_7x5";1;"Oscillator7x5";;;
18;"J5";"BarrelJack_Horizontal";1;"Conn_01x02_Female";;;
19;"C21,C22,C10,C28,C2,C7";"C_0603_1608Metric";6;"C";;;
20;"U5";"MSOP-10_3x3mm_P0.5mm";1;"MCP795xx";;;
21;"U3";"SOT-223-3_TabPin2";1;"AZ1117-5.0";;;
22;"D6,D5";"LED_D3.0mm";2;"LED";;;
23;"U6";"LQFP-48_7x7mm_P0.5mm";1;"~";;;
24;"Y1";"Crystal_C38-LF_D3.0mm_L8.0mm_Vertical";1;"32KHz";;;
25;"D2,D1";"D_1206_3216Metric";2;"D_Schottky";;;
26;"R25,R26";"R_0805_2012Metric";2;"R";;;
27;"J3";"Amphenol_SD_Card_GSD090012SEU";1;"SD Card 1";;;
28;"R18,R17";"R_0805_2012Metric";2;"2K";;;
29;"J6";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
30;"C29,C30";"C_0603_1608Metric";2;"3pF";;;
31;"J10";"IDC-Header_DB19_P2.54mm_Horizontal";1;"ST ACSI BUS";;;
32;"BT1";"BatteryHolder_Renata_SMTU2032-LF_1x2032";1;"Battery_Cell";;;
